sample-id	sex	hive	empo_1	empo_2	empo_3	origin	problem	tube_id	taxon_id	elevation	env_biome	infection	env_matter	life_stage	typesample	env_feature	env_package	sample_type	env_material	blocking_primer
ERR7420245	not applicable	B10	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B10.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420246	female	B10	Host-associated	Animal	Animal secretion	agricultural	No	S3.B10.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420247	not applicable	B10	Host-associated	Plant	Plant secretion	agricultural	No	S3.B10.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420248	not applicable	B11	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B11.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420249	female	B11	Host-associated	Animal	Animal secretion	agricultural	No	S3.B11.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420250	not applicable	B11	Host-associated	Plant	Plant secretion	agricultural	No	S3.B11.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420251	not applicable	B11	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B11.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420252	not applicable	B12	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B12.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420253	female	B12	Host-associated	Animal	Animal secretion	agricultural	No	S3.B12.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420254	not applicable	B12	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B12.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420255	not applicable	B13	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B13.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420256	female	B13	Host-associated	Animal	Animal secretion	agricultural	No	S3.B13.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420257	not applicable	B13	Host-associated	Plant	Plant secretion	agricultural	No	S3.B13.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420258	not applicable	B13	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B13.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420259	not applicable	B14	Free-living	Non-saline	Aerosol (non-saline)	agricultural	No	S3.B14.F.DNA	655179	87	village biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420260	female	B14	Host-associated	Animal	Animal secretion	agricultural	No	S3.B14.G.DNA	1202446	87	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420261	not applicable	B14	Host-associated	Plant	Plant secretion	agricultural	No	S3.B14.PB.DNA	1628154	87	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420262	not applicable	B14	Free-living	Non-saline	Surface (non-saline)	agricultural	No	S3.B14.S.DNA	1774230	87	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
